section,question,choice1,choice2,choice3,choice4,answer,explanation
GenAI基礎と用語,GenAIとは何を指しますか？,新しいコンテンツを生成できるAI,データを管理するAI,画像分類だけを行うAI,セキュリティ専用AI,1,GenAIは新しいテキストや画像などを「生成」できるAIです。
GenAI基礎と用語,Foundation Model（基盤モデル）の特徴はどれか？,少量データのみで学習,特定の用途限定,大量・多様なデータで訓練,画像生成に特化,3,基盤モデルは大量・多様なデータで訓練され、幅広い用途に適応します。
GenAI基礎と用語,Large Language Model（LLM）はどんなモデル？,音声認識に特化,テキスト理解・生成に特化,数値計算用AI,ロボット制御用AI,2,LLMは人間の言語を理解・生成できるAIモデルです。
GenAI基礎と用語,GoogleのGenAIモデル「Gemini」で正しいものは？,Googleが開発,日本のみ利用可,オープンソースでない,画像生成のみ対応,1,GeminiはGoogleのGenAIモデルです。
GenAI基礎と用語,Vertex AIの主な役割は？,AIハードウェアの設計,MLの開発・運用統合,音楽配信,AI監査のみ,2,Vertex AIはGoogle Cloud上でML/AIの開発・運用を統合するプラットフォームです。
GenAI基礎と用語,Promptingとは？,AIモデルの入力・指示,モデルの精度計算,データ収集方法,クラウド監視,1,Promptingはモデルに指示（プロンプト）を与えることです。
GenAI基礎と用語,GenAIはどのような形式のデータも扱える「○○」型AIである,マルチモーダル,単一目的,音声のみ,映像専用,1,GenAIはテキスト、画像、コードなど多様なデータを扱えるマルチモーダル型です。
GenAI基礎と用語,GenAIの主な利用例でないものは？,新しいコンテンツの作成,要約,手作業によるデータ転記,情報探索,3,GenAIは手作業の自動化もできますが、単純な転記は主な利用例ではありません。
GenAI基礎と用語,AIの「学習」に該当するのは？,モデル訓練,問い合わせ,検索,印刷,1,「学習」はモデル訓練を指します。
GenAI基礎と用語,AI・ML・GenAIの関係で正しいものは？,GenAI ⊂ ML ⊂ AI,ML ⊂ GenAI ⊂ AI,AI ⊂ ML ⊂ GenAI,GenAI ⊂ AI ⊂ ML,1,GenAIはMLの応用の一つであり、MLはAIの一部です。
GenAI基礎と用語,データの種類で「構造化データ」とは？,関係データベース等で管理しやすいデータ,画像やテキスト,音声データ,乱数,1,構造化データは表形式などで整理されたデータです。
GenAI基礎と用語,「非構造化データ」に該当するものは？,文章,表形式データ,整形済みログ,リレーショナルデータ,1,文章や画像などは非構造化データです。
GenAI基礎と用語,MLライフサイクルの最初の工程は？,データの収集・前処理,モデル訓練,モデル配備,モデル評価,1,まずデータの収集と前処理から始めます。
GenAI基礎と用語,GenAI導入時に重要な「Responsible AI」とは？,倫理・安全性を確保したAI運用,高速化,費用削減,システム拡張,1,Responsible AIは倫理・安全面の配慮が重要です。
GenAI基礎と用語,AIの学習で「教師あり学習」は？,ラベル付きデータで訓練,ラベルなしデータ,強化学習,無関係,1,教師あり学習は正解ラベル付きデータでモデルを訓練します。
GenAI基礎と用語,「深層学習」はどのAI分野に属しますか？,機械学習の一分野,ハードウェア設計,データ入力,ロジスティクス,1,深層学習はMLの一分野です。
GenAI基礎と用語,Geminiの活用例でないものは？,テキスト生成,コード生成,画像分類,家計簿の手書き入力,4,Geminiは家計簿手書き入力機能は持ちません。
GenAI基礎と用語,GenAIのビジネス導入戦略で重要な点は？,明確な価値のある領域から着手,全社一斉導入,計画なしの実験,既存技術だけ利用,1,明確な価値や効果が期待できる領域から進めます。
GenAI基礎と用語,GeminiやVertex AIのような「プラットフォーム」の役割は？,AI開発・運用の基盤提供,ハードウェア設計,モバイルアプリ開発,データ復旧,1,プラットフォームはAI開発や運用の基盤です。
GenAI基礎と用語,GenAIが提供できる「自動化」に該当するものは？,レポート自動生成,印刷,データ削除,OSアップデート,1,GenAIはレポートや文書の自動生成などが得意です。
